parameter_id,definition,value_or_rule,unit,origin_type,source_or_method,rationale_and_evidence_boundary,sensitivity_status,affected_result
P01,Eligibility,V >= 1e6 USD; origin coverage >=0.80; route coverage >=0.50. Fixed keys additionally V2024 >=1e7 USD; Fig3 origin events use origin-analysis eligibility.,USD; fractions,Author-defined screen,Main Methods; current SI; SD6–SD10,No externally established optimum; balances usable evidence and scope,Current explicit sample definitions: SI Table 1 and SD1.,All MRCI results
P02,Historical windows and allocation cohort,12 adjacent; 9 rolling four-year; 3 non-overlapping four-year windows; allocation baseline and baseline-4 eligible,years,Author-defined sample design,Main Methods; SI Methods 6,"Four-year screen selects persistent evidence, not mathematical feasibility",Reference samples rebuilt; no new baseline-only allocation control.,Historical diagnosis and Fig. 5
P03,Mirror reconciliation,Both positive: sqrt(E*I); single positive: retain observed value,USD,Author-defined processing,DS01; main Methods,Symmetric reconciliation; not the Comtrade published estimator,Earlier-specification checks are not current validation unless explicitly linked to SD6–SD9.,Trade network
P04,Flow quality,q=1/(1+abs(log1p(E)-log1p(I))) for bilateral positives; q=0.45 for single-sided; estimated quantity/netweight flag multiplier=0.85,dimensionless,Author-defined heuristic,DS01 flags; this study,No empirical estimation of 0.45 or 0.85 documented,Earlier-specification checks are not current validation unless explicitly linked to SD6–SD9.,Attribution uncertainty
P05,Mirror quality tiers,"Relative gap abs(E-I)/max((E+I)/2,1); A <=0.25; B <=0.75; C single-sided; D otherwise",fraction,Author-defined heuristic,DS01; this study,"Tier boundaries are processing choices, not validated error probabilities",Earlier-specification checks are not current validation unless explicitly linked to SD6–SD9.,Observation error
P06,Observation sigma,A=0.15; B=0.45; C=0.75; D=1.10; take maximum with mirror interval estimate / 1.6448536269514722,log1p value scale,Heuristic scales plus row-derived discrepancy,DS01; this study,Z90 is a standard-normal quantile; tier sigmas are not empirically calibrated,Earlier-specification checks are not current validation unless explicitly linked to SD6–SD9.,Trade reconstruction and uncertainty
P07,Internal missing years,Maximum gap 2; linear log1p interpolation; sigma += 0.20*gap; quality /= (1+0.25*gap),years; dimensionless,Author-defined reconstruction,This study,Internal gaps only; penalties acknowledge poorer evidence,Earlier-specification checks are not current validation unless explicitly linked to SD6–SD9.,Historical trade
P08,Stage-specific local-source weight,"ore/mineral 0.95; material 0.65; compound 0.55; metal 0.45; alloy 0.25; magnet 0.20. Stage order: ore/mineral, material, compound, metal, alloy, magnet.",fraction,Author-defined heuristic,SI Eqs. 9–13; DS06–DS10 seeds,"These weights mix country and global origins, not engineering conversion yields","SD7: fixed trade/cohort/route geometry, prior-only and +/-0.20 clipped weights; reclassified and fixed-reference event networks.",Inferred origin and Fig. 5
P09,Missing country origin fallback,Producing countries start as point masses on themselves; others have no state. Missing exporter state uses full global g. Absent stage or no imports carries state forward; imports without previous state are normalized alone. States reset by mineral-year.,fraction,Author-defined model assumption,SI Methods 3.1 and worked example; DS06–DS10,Do not use unnormalised (1-w)*g when local origin is absent,Earlier-specification checks are not current validation unless explicitly linked to SD6–SD9.,Origin reconvergence
P10,Production prehistory bridge,2012 national WMD2018/BGS ratio; missing-national-anchor fallback to mineral-total ratio; no clipping,ratio,Estimated from external observations,"DS06, DS09, DS10",2012 calibration; held-out 2010–2011 comparison,Earlier-specification checks are not current validation unless explicitly linked to SD6–SD9.,Fig. 5
P11,Heuristic attribution index U,"0.35*entropy + 0.25*(1-mean flow quality) + 0.20*mean hub uncertainty + 0.20*clip(mean sigma/1.5,0,1)",index,Author-defined heuristic,SI Eq. 16,"Hub uncertainty per attributed entry is 1-w_s. Positive origin entries determine normalized entropy; group means and trade-value aggregation are specified in SI Eq.16. U is a heuristic, not a calibrated probability.",SD6: classification gate removal and baseline-floor decomposition on all 5427 reference deconcentration windows.,Evidence safeguard and draws
P12,Geographically screened overland rule,Initial distance <1500 km; country anchors share connected Natural Earth land (0.5-degree coastal tolerance) or registered fixed crossings; country anchors >1 degree outside their polygon repaired; Earth radius 6371 km,km,Author-defined geographic feasibility screen,"DS11, DS12, DS15, DS18; geographic-screen register",Foreign gateway overrides cannot establish land connectivity. Coarse polygons do not establish observed transport mode.,Earlier-specification checks are not current validation unless explicitly linked to SD6–SD9.,All static maritime results
P13,Marine engine options,searoute 1.6.0; speed_knot=24 (travel-time setting); restrictions=[northwest]; append_orig_dest=false; include_ports=false; backend=networkx; algorithm=null,categorical,Computational settings,DS14; frozen route_engine_lock.json,"Reproduces the archived static graph, not observed modal choice",Earlier-specification checks are not current validation unless explicitly linked to SD6–SD9.,Static routes
P14,Chokepoint tagging,Periodic-longitude line-segment intersection with eight closed rectangles,boolean,Author-defined spatial rule,DS13; coordinate rows P14.*,Vertex inclusion is not line-segment intersection,Corrected reference route assignment; no claim of observed voyages.,Static C*
P15,MRCI threshold,"tau=0.025; alternatives 0.010 and 0.050; transfer OR, substantive de-risking AND plus evidence rules",index/share points,Author-defined classification,SI Eqs. 1–8,Non-compensatory diagnostic; not an empirical disruption threshold,Earlier-specification checks are not current validation unless explicitly linked to SD6–SD9.,MRCI
