input_id,input_variable,original_publisher,dataset_version_period,units,manuscript_reference,original_url_or_doi,processing,analytical_use,provenance_status_and_limits
DS01,Historical bilateral trade and reporting flags,UN Statistics Division,UN Comtrade annual HS API; 51 candidate HS6 codes; 50 supported codes; 2012–2024,USD; kg; reporting/estimate flags,29,https://comtradeplus.un.org/,Mirror reconciliation; log1p gap filling; exclude aggregate partners,Main Figs. 1–4; historical MRCI,Expanded nickel basket; non-national reporting aggregates and post-2024 interpolation anchors excluded. Original response records and correction manifests retained in research-process inputs. Original timestamps absent for earlier caches remain unrecorded.
DS02,Country and HS dictionaries,UN Statistics Division,Comtrade reference files; HS H4/H5/H6,codes and labels,"29,31",https://comtradeapi.un.org/files/v1/app/reference/H4.json,Country alias crosswalks and code normalisation,All analyses,Official source hashes are recorded in Supplementary Data SD10; country crosswalk changes are author processing
DS03,HS revision correspondences,World Customs Organization / UN Statistics Division,HS 2012–2017 and 2017–2022; HS-SITC-BEC correlations 2022,HS codes,"30,31",https://unstats.un.org/unsd/classifications/Econ/tables/HS-SITC-BEC%20Correlations_2022.xlsx,Revision screens; author-defined mineral and processing-stage groups,All figures; HS robustness,Exact WCO URLs and hashes: Supplementary Data SD10 official_source_manifest.csv; stage grouping is not an official conversion factor
DS04,Allocation trade history,CEPII,BACI HS2007 V202601; 2007–2024,USD after conversion from BACI thousand USD,32,https://www.cepii.fr/DATA_DOWNLOAD/baci/data/BACI_HS07_V202601.zip,Expanded nickel six-product basket; USD conversion; historical export ceilings; HS2007 code mapping retained,Fig. 5,Local source manifest records retrieval 2026-08-21 and Etalab Open Licence 2.0; shares underlying Comtrade observations
DS06,Mine-production seeds,Austrian ministries responsible for mining,World Mining Data 2018; 2012–2014 observations,commodity-specific production units; normalised country shares,33,https://www.world-mining-data.info/wmd/downloads/PDF/WMD2018.pdf,Country mapping; within-mineral normalisation; bauxite seeds aluminium,All inferred-origin analyses,"All used production-seed records have original PDF-page or workbook-cell locations, original commodity/country labels, ISO mappings, units and source-file checksums in wmd_seed_source_lineage.csv. Edition periods remain confounded with time. Original acquisition timestamps are unrecorded."
DS07,Mine-production seeds,Austrian ministries responsible for mining,World Mining Data 2021; 2015–2019 observations,commodity-specific production units; normalised country shares,33,https://www.world-mining-data.info/wmd/downloads/PDF/WMD2021.pdf,Same processing as DS06,All inferred-origin analyses,"All used production-seed records have original PDF-page or workbook-cell locations, original commodity/country labels, ISO mappings, units and source-file checksums in wmd_seed_source_lineage.csv. Edition periods remain confounded with time. Original acquisition timestamps are unrecorded."
DS08,Mine-production seeds and aluminium output,Austrian Federal Ministry of Finance,World Mining Data 2026; 2020–2024 observations,commodity-specific production units; normalised country shares,33,https://www.bmf.gv.at/dam/jcr:ed3d811d-6edd-4bf9-b564-40cacaedac94/6.4.%20Production_of_Mineral_Raw_Materials_of_individual_Countries_by_Minerals.xlsx,Bauxite for mine origins; Aluminium series only for external output comparison,All origin analyses; Extended Data Fig. 4,"All used production-seed records have original PDF-page or workbook-cell locations, original commodity/country labels, ISO mappings, units and source-file checksums in wmd_seed_source_lineage.csv. Edition periods remain confounded with time. Original acquisition timestamps are unrecorded."
DS09,Allocation mine-origin prehistory,British Geological Survey,World Mineral Production 2008–2012; use 2008–2011,commodity-specific production; calibrated country shares,34,https://nora.nerc.ac.uk/id/eprint/507092/1/WMP2008-2012.pdf,Country-specific 2012 WMD2018/BGS ratio; mineral-total ratio fallback; no clipping,Fig. 5,"Calibrated values are author-derived, not raw BGS observations"
DS10,Held-out production comparison,Austrian ministry responsible for mining,World Mining Data 2016; use 2010–2011,country production shares,33,https://web.archive.org/web/20160610001916id_/http://www.bmwfw.gv.at/EnergieUndBergbau/WeltBergbauDaten/Documents/WMD2016%28tw.barrierefrei%29.pdf,Independent-edition check of calibrated prehistory,SI historical-origin audit,"Archival original URL, PDF checksum and parser checks in source_manifest.json"
DS11,Country routing reference coordinates and continent labels,Authors: model spatial reference; comparison with CEPII GeoDist,Frozen nation_lat_lon.csv; not verified centroids,longitude/latitude degrees; continent labels,"38,37",https://www.cepii.fr/cepii/en/bdd_modele/bdd_modele_item.asp?id=6,160/163 initial anchors agree with GeoDist within 0.0001 degrees; geographic screen repairs gross country-anchor errors using Natural Earth,"Static routes in Figs. 1, 4, 5","Initial frozen-table derivation is not independently established. Coordinates are declared model spatial inputs, not measured ports or validated centroids. Exact frozen and corrected coordinates are supplied."
DS12,56 routing-anchor overrides,Authors,56 fixed maritime-gateway overrides; model-defined spatial inputs,longitude/latitude degrees,Author-defined spatial assumption,Not applicable: author-defined coordinates,Override country reference coordinates,Static route template,"Selection is a model assumption, not observed port use. Some gateways are inland or outside the named country; they are not used to establish land connectivity."
DS13,Chokepoint rectangles,Authors,Eight frozen closed rectangles,longitude/latitude degrees,Author-defined spatial rule,Not applicable: author-defined,Periodic-longitude line-segment intersection with closed rectangles,Static maritime exposure,Exact bounds in Model_Parameters; not an external measured risk boundary
DS14,Marine routing graph and implementation,Python searoute contributors / Eurostat,Python searoute 1.6.0; Eurostat-derived marine network,graph coordinates and distances (km),36,https://pypi.org/project/searoute/1.6.0/ ; https://github.com/eurostat/searoute,Static shortest marine paths with northwest restriction,Static routes and Fig. 4 display geometry,Software version and graph provenance are distinct; no claim of AIS or navigational accuracy
DS15,Current Fig. 4 country basemap,Natural Earth,Admin 0 Countries; 1:110 million scale; exact cached release not identified,geographic polygons,35,https://www.naturalearthdata.com/downloads/110m-cultural-vectors/110m-admin-0-countries/,Connected-land feasibility screen and country basemap,Geographic screen for all revised static-route results; Fig. 4 basemap,"Public-domain coarse polygons; cached bytes identified by checksum. Exact upstream release date is unrecorded. A 0.5-degree coast tolerance and documented fixed crossings are model rules, not observations of modal choice."
DS17,Reconstructed national refining output,"Cheng, Fuchs, Karplus and Michalek",2024 article; fixed original-author repository commit 6fbf2a5697dbcb027572f294657c029ea176b39f,output values aggregated to national shares,5,https://doi.org/10.1038/s41467-024-46418-1 ; https://github.com/acheng98/ev-battery-chemistry-supply-chain-vulnerabilities/tree/6fbf2a5697dbcb027572f294657c029ea176b39f,Select refining_possible to refined_material edges; aggregate countries and compare HHI / JS similarity,Extended Data Fig. 4,"Four active CSVs retrieved from the fixed original-author commit; hashes equal previous verified hashes. National-output subsets only, not mine-origin or facility-capacity validation. Current comparisons and stage/year coverage in SD8."
DS18,Documented fixed crossings,Getlink; Storebaelt; Oresundsbron; KFCA; Singapore ICA,Opening dates: 1994; 1997/1998; 2000; 1986; 1924,country pairs and years,SI geographic-screen register,See fixed_crossing_sources.csv for exact institutional URLs,Permit connected-land screen for named fixed crossings; all predate analysis period,Static-route geographic feasibility,"Infrastructure existence supports feasibility only, not actual mode shares."
